field,date,move_type,cover,,,,
williams_west,11/21/2025,day_in,0,,,,
lower_sunset,11/21/2025,day_out,0,,,,
playground,11/25/2025,day_out,0,,,,
GP6,11/25/2025,day_in,0,,,,
GP6,11/30/2025,day_out,"1,746",,,,
GP1,11/30/2025,day_in,"2,040",,,,
GP1,,day_out,0,,,,
williams_west,,day_out,0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
