herd,field,acres_grazed,move_type,days,date,cover,avg from sections,observer,Notes
feeders,sunset_hill,,day_in,6,6/19/2025,4700,,,
feeders,sunset_hill,,day_out,,6/25/2025,2572,,,
feeders,pond_field,0.4,day_in,3,6/25/2025,4616,,,dry corner only
feeders,pond_field,0.4,day_out,,6/28/2025,3062,,,dry corner only
feeders,horse,3.7,day_in,9,6/28/2025,4042,,,"not including pond corner. borders of Horse should not include area in upper corner of Pond.  That corner has been used as partial ""Pond"" for 2025"
feeders,horse,3.7,day_out,,7/7/2025,3342,,,"not including pond corner. borders of Horse should not include area in upper corner of Pond.  That corner has been used as partial ""Pond"" for 2025"
feeders,lower_home,,day_in,3,7/7/2025,,,,
feeders,lower_home,,day_out,,7/10/2025,2152,,,
feeders,triangle_lower,,day_in,3,7/10/2025,4658,,,
feeders,triangle_lower,,day_out,,7/13/2025,,,,
feeders,railroad,,day_in,3,7/13/2025,,,,
feeders,railroad,,day_out,,7/16/2025,2390,,,
feeders,drainage,,day_in,14,7/16/2025,3745,,,"all, in sections"
feeders,drainage,,day_out,,7/30/2025,2749,,,
feeders,lower_underhill,,day_in,4,7/30/2025,5568,,,
feeders,lower_underhill,,day_out,,8/3/2025,,,,
feeders,lower_barberry,,day_in,3,8/3/2025,,,,
feeders,lower_barberry,,day_out,,8/6/2025,,,,
feeders,underhill,,day_in,10,8/6/2025,,,,
feeders,underhill,,day_out,,8/16/2025,,,,
feeders,barberry_woods,,day_in,2,8/16/2025,,,,
feeders,barberry_woods,,day_out,,8/18/2025,2544,,,
feeders,bull,,day_in,3,8/18/2025,3538,,,
feeders,bull,,day_out,,8/21/2025,2810,,,
feeders,sunset_field,,day_in,3,8/21/2025,3034,,,
feeders,sunset_field,,day_out,,8/24/2025,2765,,,
feeders,sunset_hill,,day_in,4,8/24/2025,4546,,,
feeders,sunset_hill,,day_out,,8/28/2025,,,,
feeders,pond_field,2.84,day_in,5,8/28/2025,,,,"all, including most of wet area, grazed in sections? Angie cow got stuck in mud"
feeders,pond_field,2.84,day_out,,9/2/2025,,,,"all, including most of wet area, grazed in sections?"
feeders,horse,2.8,day_in,6,9/2/2025,,,,3/4 total maybe (Ed cows in northern section)
feeders,horse,2.8,day_out,,9/8/2025,1928,,,3/4 total maybe (Ed cows in northern section)
feeders,lower_home,,day_in,2,9/8/2025,2390,,,
feeders,lower_home,,day_out,,9/10/2025,2012,,,
feeders,triangle_lower,,day_in,3,9/10/2025,2465,,,
feeders,triangle_lower,,day_out,,9/13/2025,1930,,,
feeders,triangle_upper,,day_in,4,9/13/2025,3155,,,
feeders,triangle_upper,,day_out,,9/17/2025,2276,,,
feeders,railroad,,day_in,2,9/17/2025,3328,,,
feeders,railroad,,day_out,,9/19/2025,,,,
feeders,briar,,day_in,14,9/19/2025,,,,
feeders,briar,,day_out,,10/3/2025,2026,,,
feeders,drainage,,day_in,10,10/3/2025,4126,,Zoe,"all, likely in 6 sections, entry cover averaged from 2 sections"
feeders,drainage,,day_out,,10/13/2025,2628,,,"all, likely in 6 sections, entry cover averaged from 2 sections"
feeders,lower_barberry,,day_in,3,10/13/2025,,,,
feeders,lower_barberry,,day_out,,10/16/2025,,,,
feeders,barberry_woods,,day_in,3,10/16/2025,,,,
feeders,barberry_woods,,day_out,,10/19/2025,,,,
feeders,wilson,4,day_in,6,10/19/2025,,,,"upper dry half, lower wet half was hayed"
feeders,wilson,4,day_out,,10/25/2025,,,,"upper dry half, lower wet half was hayed"
feeders,underhill,,day_in,5,10/25/2025,,,,
feeders,underhill,,day_out,,10/30/2025,2432,,,
feeders,underhill_wet,,day_in,7,10/30/2025,3219,,,
feeders,underhill_wet,,day_out,,11/6/2025,,,,
feeders,bull,,day_in,5,11/6/2025,,,,
feeders,bull,,day_out,,11/11/2025,,,,
feeders,sunset_hill,,day_in,3,11/11/2025,,,,
feeders,sunset_hill,,day_out,,11/14/2025,2362,,,
feeders,lower_sunset,,day_in,7,11/14/2025,,,,
feeders,lower_sunset,,day_out,,11/21/2025,,,,
feeders,williams_west,,day_in,4,11/21/2025,,,,including wet?
feeders,williams_west,,day_out,,11/25/2025,,,,including wet?
,,,,,,,,,
