herd,field,paddock_plot,move _type,days,date,,,,,,,
feeders,triangle_lower,,day_out,,8/21/2025,,,,,,,
feeders,triangle_upper,,day_out,,8/26/2025,,,,,,,
feeders,railroad,,day_out,,8/28/2025,,,,,,,
feeders,drainage,,day_out,,9/11/2025,,,,,,,
feeders,lower_barberry,,day_out,,9/13/2025,,,,,,,
feeders,underhill,,day_out,,9/18/2025,,,,,,,
feeders,underhill_wet,,day_out,,9/26/2025,,,,,,,
feeders,wilson,,day_out,,10/1/2025,,,,,,,
feeders,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
