year,sample_porcesed date,farm,type,synthesized,field2,field,location,cut_date,cut_month,cat,category, bales,moisture,dry_matter,crude_protein,available_protein,adicp_per,Adj_crude_protein_percentDM,soluble_protein_perCP,aNDF_percentDM,acid_detergent_fiber,crude_fat,total_digestible_nutrient,ne_lactation_mcal.lb,ne_maintenance_mcal.lb,ne_gain_mcal.lb,calcium,phosphorus,magnesium,potassium,sodium,iron_ppm,zinc_ppm,copper_ppm,mn_ppm,mo_ppm,sulfur_percent,rel_feed_value,ash_percent,degradable_protein_percentCP,chloride_ion_percent,HorseDE_Mcal.lb,lignin_per,ndicp_per,starch_per,non_fiber_carb_per,water_sol_carb_per,simple_sugars_per,,%NDICP as fed,?,notes
2024,,,,,LAMSON MAIN 1ST CUT,lamson_m,,5/25/24,may,,first,,27.4,72.6,9.3,7.9,1.5,8.9,,72.6,41.8,1.8,55,0.4,0.46,0.21,0.32,0.24,0.14,0.68,0.116,465,18,4,37,2.9,0.27,72,4.42,66,0.37,0.88,,,,,,,,,,
2024,,,,,LAMSON HILL 1ST CUT,lamson_s,,5/25/24,may,,first,,17.5,82.5,10.4,8.9,1.5,9.9,,73.7,41.7,2.5,58,0.4,0.5,0.25,0.33,0.25,0.16,0.76,0.087,408,19,4,35,3.3,0.15,71,3.95,67,0.41,0.88,,,,,,,,,,
2024,,,,,WILSON JULY,wilson,,,,,first_delay,,34.8,65.2,10.3,9,1.3,10.3,,68.8,43.5,2.6,55,0.44,0.47,0.22,0.58,0.24,0.23,1.3,0.026,101,18,4,136,2.4,0.27,74,5.81,62,0.44,0.89,,,,,,,,,,
2024,,,,,WILLIAMS 1A 1ST CUT,williams_1a,,6/12/24,june,,first,,12.9,87.1,8.5,7.8,0.7,8.5,,71.9,41.4,1.7,58,0.43,0.51,0.25,0.33,0.23,0.16,0.94,0.056,95,15,4,37,3.1,0.16,73,4.62,71,0.49,0.88,,,,,,,,,,
2024,,,,,WILLIAMS 1ST CUT,williams_w,,6/12/24,june,,first,,14.1,85.9,8.1,7.1,1,8.1,,68.8,41.1,1.9,59,0.47,0.52,0.27,0.36,0.22,0.19,0.83,0.08,136,19,4,69,2,0.16,77,4.47,70,0.52,0.92,,,,,,,,,,
2024,,,,,BRIAR 1ST CUT,briar,,6/18/24,june,,first,,14,86,8.5,7.6,1,8.5,,66.4,40.4,1.9,60,0.49,0.54,0.28,0.52,0.25,0.15,1.25,0.042,177,14,4,26,2.3,0.15,80,5.16,65,0.39,0.94,,,,,,,,,,
2024,,,,,BRIAR REFUGE JULY,briar,,7/3/24,july,,first_delay,,21.2,78.8,8.1,6.9,1.2,8.1,,62.3,37,2,60,0.53,0.55,0.29,0.58,0.31,0.19,0.94,0.101,99,13,5,16,2.8,0.23,90,5.31,67,0.43,0.99,,,,,,,,,,
2024,,,,,PLAYGROUND REFUGE JULY,playground,,7/9/24,july,,first_delay,,28.7,71.3,9.5,8.5,1.1,9.5,,61.1,47,2.3,50,0.45,0.4,0.16,1.22,0.29,0.38,1.05,0.051,50,17,5,18,3.7,0.25,80,7.12,63,0.7,0.94,,,,,,,,,,
2024,,,,,LAMSON MIDDLE REFUGE JULY,lamson_m,,7/26/24,july,,first_delay,,40.8,59.2,9,7.9,1.1,9,,67.6,42.4,2.5,54,0.44,0.45,0.2,0.75,0.34,0.32,0.77,0.225,80,16,4,27,2.3,0.28,77,5.96,63,0.75,0.91,,,,,,,,,,
2024,,,,,LAMSON NORTH REFUGE JULY,lamson_n,,7/25/24,july,,first_delay,,23.3,76.7,8.8,7.8,1,8.8,,70.2,43.2,2.4,55,0.42,0.46,0.21,0.73,0.26,0.24,0.82,0.066,55,13,3,15,5.3,0.14,73,4.63,69,0.51,0.9,,,,,,,,,,
2024,,,,,PLOT 1 JULY,gp3_n,,,july,,forage,,41.7,58.3,11.7,10.5,1.2,11.7,,60.4,36.7,3,57,0.52,0.51,0.26,0.58,0.17,0.19,1.6,0.014,69,25,5,101,4.7,0.31,93,6.54,68,0.72,0.98,,,,,,,,,,
2024,,,,,PLOT 10 JULY,gp4_n,,,july,,forage,,42.9,57.1,13.7,12.1,1.7,13.1,,61.8,42.1,2.9,54,0.48,0.46,0.21,0.75,0.17,0.19,1.64,0.027,57,22,6,28,5.6,0.35,84,6.96,64,0.76,0.94,,,,,,,,,,
2024,,,,,PLOT 11 JULY,gp4_s,,,july,,forage,,50.2,49.8,14.1,12.5,1.6,13.5,,59.2,39.1,3.1,55,0.5,0.48,0.23,0.59,0.18,0.19,1.96,0.018,77,27,6,115,4.8,0.32,92,8.23,66,0.74,0.95,,,,,,,,,,
2024,,,,,PLOT 12 JULY,gp4_s,,,july,,forage,,46.7,53.3,14,12.7,1.4,14,,60.1,40.1,3.3,57,0.52,0.51,0.26,0.67,0.14,0.17,1.6,0.018,65,20,5,74,7.8,0.28,89,7.77,64,0.7,0.95,,,,,,,,,,
2024,,,,,PLOT 13 JULY,gp4_s,,,july,,forage,,42.1,57.9,12.4,11,1.4,12.4,,60.5,38.5,3.3,57,0.52,0.51,0.26,0.66,0.13,0.18,1.57,0.009,73,21,5,54,7.7,0.25,91,6.97,64,0.59,0.97,,,,,,,,,,
2024,,,,,PLOT 14 JULY,gp5_s,,,july,,forage,,42.6,57.4,13.6,12.2,1.4,13.6,,56.5,36.4,3.5,58,0.55,0.53,0.28,0.76,0.13,0.19,1.75,0.015,67,23,6,48,8.6,0.28,100,7.05,66,0.72,1.02,,,,,,,,,,
2024,,,,,PLOT 15 JULY,gp5_n,,,july,,forage,,50.4,49.6,12.9,11.6,1.3,12.9,,59.6,40,3,55,0.51,0.49,0.23,0.69,0.18,0.28,1.21,0.05,73,34,6,223,4.4,0.32,90,6.52,69,0.74,0.98,,,,,,,,,,
2024,,,,,PLOT 2 JULY,,,,july,,forage,,34.9,65.1,12.6,11.4,1.2,12.6,,63.7,36.9,3.3,57,0.49,0.5,0.25,0.62,0.15,0.19,1.5,0.016,67,20,5,85,7.9,0.31,88,6.47,68,0.43,0.95,,,,,,,,,,
2024,,,,,PLOT 3 JULY,,,,july,,forage,,29.3,70.7,10.3,9,1.3,10.3,,68.3,40.1,2.9,56,0.45,0.49,0.24,0.45,0.12,0.14,1.25,0.007,62,18,4,51,8.1,0.23,79,5.64,61,0.62,0.91,,,,,,,,,,
2024,,,,,PLOT 5 JULY,gp3_s,,,july,,forage,,31.9,68.1,11.8,10.6,1.2,11.8,,63.7,35.6,3.2,59,0.51,0.54,0.28,0.52,0.12,0.14,1.54,0.014,65,20,5,35,8.4,0.31,89,6.08,66,0.54,0.96,,,,,,,,,,
